[Regions]					
Name	Chromosome	Start	End	Upstream Probe Length	Downstream Probe Length
chr1:3751545-3751746	chr1	3751569	3751746		
chr1:5920778-5932528	chr1	5928386	5928602		
chr1:5920778-5932528	chr1	5929658	5929874		
chr1:5920778-5932528	chr1	5932322	5932528		
chr1:5932708-5932948	chr1	5932707	5932827		
chr1:5933523-5933773	chr1	5933523	5933773		
chr1:5934924-5935174	chr1	5934924	5935174		
chr1:5935955-5936205	chr1	5935955	5936205		
chr1:5937504-5937754	chr1	5937504	5937754		
chr1:5938307-5938557	chr1	5938307	5938557		
chr1:5939979-5940219	chr1	5939978	5940098		
chr1:5940399-5952149	chr1	5941311	5941527		
chr1:5940399-5952149	chr1	5942847	5943063		
chr1:11852332-11852532	chr1	11852356	11852532		
chr1:11854722-11854980	chr1	11854722	11854980		
chr1:11861119-11861319	chr1	11861146	11861291		
chr1:11863058-11863258	chr1	11863082	11863258		
chr1:16378120-16378320	chr1	16378147	16378292		
chr1:16381903-16382103	chr1	16381927	16382103		
chr1:19071231-19071381	chr1	19071231	19071381		
chr1:21887098-21887298	chr1	21887122	21887298		
chr1:21902284-21902499	chr1	21902308	21902499		
chr1:21903803-21904003	chr1	21903827	21904003		
chr1:24137166-24137366	chr1	24137190	24137366		
chr1:24146922-24147122	chr1	24146943	24147119		
chr1:26764619-26764819	chr1	26764646	26764791		
chr1:26769258-26769408	chr1	26769258	26769408		
chr1:26784280-26784430	chr1	26784280	26784430		
chr1:29526926-29527126	chr1	29526950	29527126		
chr1:29528416-29528616	chr1	29528440	29528616		
chr1:40558041-40558241	chr1	40558065	40558241		
chr1:40756451-40756651	chr1	40756475	40756651		
chr1:43803495-43803695	chr1	43803519	43803695		
chr1:43803717-43803917	chr1	43803717	43804007		
chr1:43804910-43805110	chr1	43804934	43805110		
chr1:43812066-43812266	chr1	43812090	43812266		
chr1:43818339-43818539	chr1	43818339	43818539		
chr1:43868793-43868993	chr1	43868817	43868993		
chr1:43895669-43895869	chr1	43895669	43895869		
chr1:43909201-43909401	chr1	43909201	43909401		
chr1:44386420-44386620	chr1	44386447	44386592		
chr1:45973117-45973317	chr1	45973117	45973317		
chr1:53662625-53662826	chr1	53662649	53662826		
chr1:53675616-53675816	chr1	53675640	53675816		
chr1:53676485-53676686	chr1	53676512	53676658		
chr1:55349271-55349471	chr1	55349298	55349443		
chr1:55464787-55465127	chr1	55464787	55465127		
chr1:64059171-64059371	chr1	64059195	64059371		
chr1:68896902-68897102	chr1	68896926	68897102		
chr1:68904643-68904843	chr1	68904667	68904843		
chr1:68905147-68905347	chr1	68905171	68905347		
chr1:68910254-68910454	chr1	68910278	68910454		
chr1:68912445-68912645	chr1	68912335	68912617		
chr1:70881595-70881745	chr1	70881595	70881745		
chr1:76194005-76194155	chr1	76194005	76194155		
chr1:76198462-76198612	chr1	76198462	76198612		
chr1:76199213-76199363	chr1	76199213	76199363		
chr1:76200428-76200676	chr1	76200428	76200676		
chr1:76205675-76205825	chr1	76205675	76205825		
chr1:76211432-76211590	chr1	76211432	76211590		
chr1:76215119-76215281	chr1	76215119	76215281		
chr1:76226771-76226971	chr1	76226771	76227060		
chr1:76228339-76228539	chr1	76228366	76228511		
chr1:94463483-94463683	chr1	94463507	94463683		
chr1:94466458-94466658	chr1	94466482	94466658		
chr1:94470967-94471167	chr1	94470991	94471167		
chr1:94473166-94473378	chr1	94473190	94473378		
chr1:94473707-94473907	chr1	94473731	94473907		
chr1:94474220-94474420	chr1	94474244	94474420		
chr1:94476251-94476477	chr1	94476251	94476477		
chr1:94479998-94480327	chr1	94479998	94480327		
chr1:94481194-94481395	chr1	94481218	94481395		
chr1:94485045-94485375	chr1	94485045	94485357		
chr1:94486735-94487020	chr1	94486735	94487020		
chr1:94487151-94487351	chr1	94487175	94487351		
chr1:94490450-94490667	chr1	94490450	94490667		
chr1:94494901-94495183	chr1	94494901	94495183		
chr1:94495974-94496197	chr1	94495974	94496166		
chr1:94496566-94496766	chr1	94496590	94496766		
chr1:94502806-94503006	chr1	94502830	94503006		
chr1:94505499-94505699	chr1	94505523	94505699		
chr1:94506737-94506939	chr1	94506761	94506939		
chr1:94508223-94508423	chr1	94508247	94508423		
chr1:94508869-94509126	chr1	94508893	94509085		
chr1:94510064-94510264	chr1	94510088	94510264		
chr1:94512527-94512677	chr1	94512423	94512677		
chr1:94517154-94517354	chr1	94517178	94517354		
chr1:94522145-94522345	chr1	94522169	94522345		
chr1:94526195-94526395	chr1	94526195	94526363		
chr1:94528570-94528906	chr1	94528570	94528906		
chr1:94543289-94543489	chr1	94543313	94543489		
chr1:94544845-94545045	chr1	94544869	94545045		
chr1:94548832-94549032	chr1	94548856	94549032		
chr1:94564384-94564584	chr1	94564408	94564584		
chr1:94568589-94568789	chr1	94568613	94568789		
chr1:94586501-94586701	chr1	94586525	94586701		
chr1:100340262-100340462	chr1	100340262	100340462		
chr1:100340850-100341050	chr1	100340874	100341050		
chr1:100353566-100353766	chr1	100353590	100353766		
chr1:100368202-100368402	chr1	100368226	100368402		
chr1:100382162-100382362	chr1	100382189	100382334		
chr1:100476869-100477069	chr1	100476893	100477069		
chr1:100483270-100483470	chr1	100483297	100483442		
chr1:100651376-100661376	chr1	100657976	100658216		
chr1:100651376-100661376	chr1	100658792	100659032		
chr1:100651376-100661376	chr1	100660736	100660976		
chr1:100661805-100662005	chr1	100661808	100662048		
chr1:100661376-100666120	chr1	100663368	100663608		
chr1:100661376-100666120	chr1	100664184	100664424		
chr1:100666120-100676120	chr1	100671616	100671856		
chr1:100666120-100676120	chr1	100673920	100674160		
chr1:100680273-100680473	chr1	100680297	100680473		
chr1:100681630-100681830	chr1	100681657	100681802		
chr1:109440114-109440314	chr1	109440138	109440314		
chr1:114442876-114443076	chr1	114442900	114443076		
