Chr	Start	End	Gene	Custom.Exon
chr11	4411318	4411568	HBB	1
chr11	4620975	4621225	HBB	2
chr11	4790570	4790820	HBB	3
chr11	5068070	5068320	HBB	4
chr11	5246615	5247162	HBB	5
chr11	5247706	5248502	HBB	6
chr11	5255222	5255472	HBB	7
chr11	5373106	5373356	HBB	8
chr11	5529687	5529937	HBB	9
chr11	5624607	5624857	HBB	10
chr11	5730492	5730742	HBB	11
chr11	5905954	5906204	HBB	12
chr11	6121214	6121335	HBB	13
chr11	108098503	108100050	ATM	2
chr11	108108885	108109004	ATM	6
chr11	108115515	108115765	ATM	7
chr11	108121458	108121839	ATM	10
chr11	108126880	108127130	ATM	14
chr11	108128168	108128314	ATM	15
chr11	108139119	108139369	ATM	18
chr11	108141139	108141287	ATM	19
chr11	108143464	108143642	ATM	22
chr11	108151629	108151995	ATM	24
chr11	108155111	108155287	ATM	26
chr11	108158272	108158522	ATM	27
chr11	108165598	108165848	ATM	32
chr11	108175370	108175620	ATM	37
chr11	108179761	108179937	ATM	38
chr11	108180841	108181091	ATM	39
chr11	108196063	108196216	ATM	46
chr11	108199736	108199986	ATM	49
chr11	108205275	108205396	ATM	50
chr13	20797176	20797295	GJB6	11
chr13	20806351	20806553	GJB6	10
chr13	20977901	20978443	GJB6	9
chr13	20978702	20978952	GJB6	8
chr13	20987349	20987599	GJB6	7
chr13	21006196	21006446	GJB6	6
chr13	21007823	21008073	GJB6	5
chr13	21013698	21013948	GJB6	4
chr13	21063462	21063712	GJB6	3
chr13	21086511	21086761	GJB6	2
chr13	21100429	21100550	GJB6	1
chr15	31355203	31355415	TRPM1	10
chr15	31357169	31357419	TRPM1	9
chr15	31358248	31358498	TRPM1	8
chr15	31359203	31359453	TRPM1	7
chr15	31360069	31360319	TRPM1	6
chr15	31362000	31362250	TRPM1	5
chr15	31369022	31369272	TRPM1	4
chr15	31373478	31373728	TRPM1	3
chr15	31383735	31383985	TRPM1	2
chr15	31391526	31391647	TRPM1	1
chr15	43892157	43892305	STRC	28
chr15	43892731	43892880	STRC	26
chr15	43893593	43893749	STRC	24
chr15	43895439	43895609	STRC	23
chr15	43896193	43896350	STRC	22
chr15	43896558	43896649	STRC	21
chr15	43896847	43897044	STRC	20
chr15	73000619	73000738	BBS4	1
chr15	73001637	73001863	BBS4	2
chr15	73001958	73002174	BBS4	3
chr15	73002345	73002513	BBS4	4
chr15	73002904	73003058	BBS4	5
chr15	73004491	73004741	BBS4	6
chr15	73006177	73006403	BBS4	7
chr15	73006758	73006879	BBS4	8
chr16	89809208	89809327	FANCA	1
chr16	89809456	89809706	FANCA	2
chr16	89811294	89811544	FANCA	3
chr16	89812921	89813388	FANCA	4
chr16	89814218	89814362	FANCA	5
chr16	89814997	89815247	FANCA	6
chr16	89816098	89816348	FANCA	7
chr16	89817862	89818088	FANCA	8
chr16	89818509	89818630	FANCA	9
chr17	45374807	45374926	ITGB3	9
chr17	45375527	45375777	ITGB3	10
chr17	45376658	45376908	ITGB3	11
chr17	45377767	45378017	ITGB3	12
chr17	45378570	45378820	ITGB3	13
chr17	45380019	45380269	ITGB3	14
chr17	45380671	45380921	ITGB3	15
chr17	45381577	45381827	ITGB3	16
chr17	45382458	45382708	ITGB3	17
chr17	45383014	45383158	ITGB3	18
chr17	45384546	45384676	ITGB3	19
chr17	45384744	45384865	ITGB3	20
chr17	73745034	73745226	ITGB4	27
chr17	73745658	73747312	ITGB4	28
chr19	7586763	7586882	MCOLN1	1
chr19	7587463	7587713	MCOLN1	2
chr19	7587952	7588202	MCOLN1	3
chr19	7588314	7588564	MCOLN1	4
chr19	7589274	7589490	MCOLN1	5
chr19	7589832	7590082	MCOLN1	6
chr19	7591286	7591526	MCOLN1	7
chr19	7591593	7591868	MCOLN1	8
chr19	7592385	7592635	MCOLN1	9
chr19	7592933	7593054	MCOLN1	10
chr19	14031482	14031769	CC2D1A	14
chr19	14032334	14032454	CC2D1A	15
chr19	14032649	14032793	CC2D1A	16
chr19	14034010	14034507	CC2D1A	17
chr2	44410485	44410599	2p21	1
chr2	44428664	44428914	2p21	2
chr2	44445046	44445296	2p21	3
chr2	44460600	44460850	2p21	4
chr2	44502787	44503132	2p21	5
chr2	44513113	44513375	2p21	6
chr2	44528080	44528330	2p21	7
chr2	44539705	44539955	2p21	8
chr2	44547395	44547692	2p21	9
chr2	44559589	44559839	2p21	10
chr2	44570871	44571121	2p21	11
chr2	44589392	44589505	2p21	12
chr2	47596872	47597122	EPCAM	1
chr2	47598887	47599137	EPCAM	2
chr2	47600941	47601191	EPCAM	3
chr2	47602280	47602530	EPCAM	4
chr2	47604753	47605003	EPCAM	5
chr2	47606013	47606263	EPCAM	6
chr2	47606825	47607075	EPCAM	7
chr2	47607549	47607799	EPCAM	8
chr2	47611036	47611252	EPCAM	9
chr2	47612511	47612761	EPCAM	10
chr2	152502272	152504773	NEB	55
chr20	6102950	6104391	FERMT1	1
chr20	6104439	6104902	FERMT1	2
chr20	35577091	35577210	SAMHD1	1
chr20	35578902	35579152	SAMHD1	2
chr20	35579600	35579850	SAMHD1	3
chr20	35579943	35580193	SAMHD1	4
chr20	35580721	35580971	SAMHD1	5
chr20	35583525	35583645	SAMHD1	6
chr20	35583788	35584038	SAMHD1	7
chr20	35586107	35586228	SAMHD1	8
chr3	81536370	81536489	GBE1	1
chr3	81537877	81538127	GBE1	2
chr3	81538464	81538714	GBE1	3
chr3	81538912	81539162	GBE1	4
chr3	81539233	81539483	GBE1	5
chr3	81539724	81539974	GBE1	6
chr3	81540787	81541037	GBE1	7
chr3	81541318	81541568	GBE1	8
chr3	81542213	81542463	GBE1	9
chr3	81542851	81542972	GBE1	10
chr3	120394334	120394982	HGD	2
chr3	148844518	148844637	HPS3	1
chr3	148844870	148845120	HPS3	2
chr3	148845942	148846192	HPS3	3
chr3	148846556	148846806	HPS3	4
chr3	148846832	148847718	HPS3	5
chr3	148847801	148848051	HPS3	6
chr3	148848296	148848417	HPS3	7
chr5	42695019	42695306	GHR	1
chr5	42695430	42695632	GHR	2
chr5	42695761	42695905	GHR	3
chr5	42696786	42696930	GHR	4
chr5	42697153	42697273	GHR	5
chr5	42698398	42698648	GHR	6
chr5	42698942	42699192	GHR	7
chr5	42699800	42700104	GHR	8
chr5	70247686	70247850	SMN1	7
chr6	145985003	145985122	EPM2A	1
chr6	145990129	145990331	EPM2A	2
chr6	145992787	145993013	EPM2A	3
chr6	146007220	146007470	EPM2A	4
chr6	146025271	146025521	EPM2A	5
chr6	146029566	146029687	EPM2A	6
chr7	117138367	117138615	CFTR	1
chr7	117144306	117144417	CFTR	2
chr7	117149087	117149196	CFTR	3
chr7	117150490	117150740	CFTR	4
chr7	117156383	117156585	CFTR	5
chr7	117159325	117159446	CFTR	6
chr7	117232041	117232124	CFTR	14
chr7	117247976	117248154	CFTR	19
chr7	117250572	117250723	CFTR	20
chr7	117251634	117251862	CFTR	21
chr7	117254666	117254767	CFTR	22
chr7	117256875	117256996	CFTR	23
chr7	117304664	117306195	CFTR	26
chr9	34645658	34645777	GALT	1
chr9	34646565	34646815	GALT	2
chr9	34647057	34647307	GALT	3
chr9	34647403	34647653	GALT	4
chr9	34647707	34647964	GALT	5
chr9	34648011	34648518	GALT	6
chr9	34648700	34649164	GALT	7
chr9	34649355	34649605	GALT	8
chr9	34650363	34650613	GALT	9
chr9	34651112	34651233	GALT	10
chr9	80005630	80005749	VPS13A	1
chr9	80006900	80007054	VPS13A	2
chr9	80011015	80011265	VPS13A	3
chr9	80014688	80014880	VPS13A	4
chr9	80018069	80018319	VPS13A	5
chr9	80020714	80020964	VPS13A	6
chr9	80022353	80022603	VPS13A	7
chr9	80031004	80031254	VPS13A	8
chr9	80031991	80032241	VPS13A	9
chr9	80038667	80038917	VPS13A	10
chr9	80040431	80040681	VPS13A	11
chr9	80042825	80042946	VPS13A	12
chr9	108484280	108485540	TMEM38B	1
chr9	108486380	108486620	TMEM38B	2
chr9	108488960	108489080	TMEM38B	3
chr9	108502880	108503240	TMEM38B	4
chr9	108504800	108505262	TMEM38B	5
chrX	31137145	31137543	DMD	79
chrX	31139815	31140213	DMD	78
chrX	31144522	31144920	DMD	77
chrX	31151962	31152496	DMD	76
chrX	31164249	31164647	DMD	75
chrX	31165204	31165684	DMD	74
chrX	31190287	31190671	DMD	73
chrX	31191589	31191842	DMD	72
chrX	31195897	31196236	DMD	71
chrX	31196565	31197124	DMD	70
chrX	31198326	31198705	DMD	69
chrX	31200714	31201145	DMD	68
chrX	31221997	31222336	DMD	67
chrX	31224595	31224923	DMD	66
chrX	31227496	31227928	DMD	65
chrX	31241061	31241432	DMD	64
chrX	31278940	31279258	DMD	63
chrX	31341643	31341915	DMD	62
chrX	31366478	31366898	DMD	61
chrX	31462447	31462935	DMD	60
chrX	31496004	31496662	DMD	59
chrX	31496881	31497295	DMD	58
chrX	31514753	31515222	DMD	57
chrX	31525328	31525702	DMD	56
chrX	31645618	31646116	DMD	55
chrX	31676034	31676427	DMD	54
chrX	31697385	31697783	DMD	53
chrX	31747641	31748009	DMD	52
chrX	31791914	31792442	DMD	51
chrX	31837895	31838324	DMD	50
chrX	31854701	31855048	DMD	49
chrX	31893150	31893594	DMD	48
chrX	31947547	31948030	DMD	47
chrX	31950010	31950528	DMD	46
chrX	31986240	31986754	DMD	45
chrX	32234641	32235348	DMD	44
chrX	32305536	32305884	DMD	43
chrX	32328111	32328490	DMD	42
chrX	32360025	32360589	DMD	41
chrX	32361141	32361513	DMD	40
chrX	32363951	32364290	DMD	39
chrX	32366423	32366721	DMD	38
chrX	32380740	32381200	DMD	37
chrX	32382597	32382936	DMD	36
chrX	32383037	32383435	DMD	35
chrX	32398539	32398910	DMD	34
chrX	32404295	32404667	DMD	33
chrX	32407410	32407937	DMD	32
chrX	32407966	32408485	DMD	31
chrX	32429622	32430709	DMD	30
chrX	32456239	32456637	DMD	29
chrX	32459140	32459568	DMD	28
chrX	32466422	32466849	DMD	27
chrX	32472708	32473079	DMD	26
chrX	32481323	32481808	DMD	25
chrX	32482530	32483010	DMD	24
chrX	32486531	32486941	DMD	23
chrX	32490097	32490585	DMD	22
chrX	32502880	32503356	DMD	21
chrX	32509210	32509788	DMD	20
chrX	32519682	32520148	DMD	19
chrX	32519710	32520099	DMD	18
chrX	32563160	32563549	DMD	17
chrX	32583645	32584120	DMD	16
chrX	32591420	32592164	DMD	14
chrX	32613742	32614144	DMD	13
chrX	32632224	32632689	DMD	12
chrX	32662137	32662622	DMD	11
chrX	32662942	32663361	DMD	10
chrX	32715791	32716210	DMD	9
chrX	32717180	32717478	DMD	8
chrX	32827411	32827900	DMD	7
chrX	32834281	32834849	DMD	6
chrX	32841171	32841617	DMD	5
chrX	32862775	32863173	DMD	4
chrX	32867600	32868199	DMD	3
chrX	33038013	33038459	DMD	2
chrX	33146039	33146542	DMD	1
