[Regions]					
Name	Chromosome	Start	End	Upstream Probe Length	Downstream Probe Length
chr1:3751569-3751746	chr1	3751569	3751746		
chr1:5928386-5928602	chr1	5928386	5928602		
chr1:5929658-5929874	chr1	5929658	5929874		
chr1:5932322-5932528	chr1	5932322	5932528		
chr1:5932707-5932827	chr1	5932707	5932827		
chr1:5933523-5933773	chr1	5933523	5933773		
chr1:5934924-5935174	chr1	5934924	5935174		
chr1:5935955-5936205	chr1	5935955	5936205		
chr1:5937504-5937754	chr1	5937504	5937754		
chr1:5938307-5938557	chr1	5938307	5938557		
chr1:5939978-5940098	chr1	5939978	5940098		
chr1:5941311-5941527	chr1	5941311	5941527		
chr1:5942847-5943063	chr1	5942847	5943063		
chr1:11852356-11852532	chr1	11852356	11852532		
chr1:11854722-11854980	chr1	11854722	11854980		
chr1:11861146-11861291	chr1	11861146	11861291		
chr1:11863082-11863258	chr1	11863082	11863258		
chr1:16378147-16378292	chr1	16378147	16378292		
chr1:16381927-16382103	chr1	16381927	16382103		
chr1:19071231-19071381	chr1	19071231	19071381		
chr1:21887122-21887298	chr1	21887122	21887298		
chr1:21902308-21902499	chr1	21902308	21902499		
chr1:21903827-21904003	chr1	21903827	21904003		
chr1:24137190-24137366	chr1	24137190	24137366		
chr1:24146943-24147119	chr1	24146943	24147119		
chr1:26764646-26764791	chr1	26764646	26764791		
chr1:26769258-26769408	chr1	26769258	26769408		
chr1:26784280-26784430	chr1	26784280	26784430		
chr1:29526950-29527126	chr1	29526950	29527126		
chr1:29528440-29528616	chr1	29528440	29528616		
chr1:40558065-40558241	chr1	40558065	40558241		
chr1:40756475-40756651	chr1	40756475	40756651		
chr1:43803519-43803695	chr1	43803519	43803695		
chr1:43803717-43804007	chr1	43803717	43804007		
chr1:43804934-43805110	chr1	43804934	43805110		
chr1:43812090-43812266	chr1	43812090	43812266		
chr1:43818339-43818539	chr1	43818339	43818539		
chr1:43868817-43868993	chr1	43868817	43868993		
chr1:43895669-43895869	chr1	43895669	43895869		
chr1:43909201-43909401	chr1	43909201	43909401		
chr1:44386447-44386592	chr1	44386447	44386592		
chr1:45973117-45973317	chr1	45973117	45973317		
chr1:53662649-53662826	chr1	53662649	53662826		
chr1:53675640-53675816	chr1	53675640	53675816		
chr1:53676512-53676658	chr1	53676512	53676658		
chr1:55349298-55349443	chr1	55349298	55349443		
chr1:55464787-55465127	chr1	55464787	55465127		
chr1:64059195-64059371	chr1	64059195	64059371		
chr1:68896926-68897102	chr1	68896926	68897102		
chr1:68904667-68904843	chr1	68904667	68904843		
chr1:68905171-68905347	chr1	68905171	68905347		
chr1:68910278-68910454	chr1	68910278	68910454		
chr1:68912335-68912617	chr1	68912335	68912617		
chr1:70881595-70881745	chr1	70881595	70881745		
chr1:76194005-76194155	chr1	76194005	76194155		
chr1:76198462-76198612	chr1	76198462	76198612		
chr1:76199213-76199363	chr1	76199213	76199363		
chr1:76200428-76200676	chr1	76200428	76200676		
chr1:76205675-76205825	chr1	76205675	76205825		
chr1:76211432-76211590	chr1	76211432	76211590		
chr1:76215119-76215281	chr1	76215119	76215281		
chr1:76226771-76227060	chr1	76226771	76227060		
chr1:76228366-76228511	chr1	76228366	76228511		
chr1:94463507-94463683	chr1	94463507	94463683		
chr1:94466482-94466658	chr1	94466482	94466658		
chr1:94470991-94471167	chr1	94470991	94471167		
chr1:94473190-94473378	chr1	94473190	94473378		
chr1:94473731-94473907	chr1	94473731	94473907		
chr1:94474244-94474420	chr1	94474244	94474420		
chr1:94476251-94476477	chr1	94476251	94476477		
chr1:94479998-94480327	chr1	94479998	94480327		
chr1:94481218-94481395	chr1	94481218	94481395		
chr1:94485045-94485357	chr1	94485045	94485357		
chr1:94486735-94487020	chr1	94486735	94487020		
chr1:94487175-94487351	chr1	94487175	94487351		
chr1:94490450-94490667	chr1	94490450	94490667		
chr1:94494901-94495183	chr1	94494901	94495183		
chr1:94495974-94496166	chr1	94495974	94496166		
chr1:94496590-94496766	chr1	94496590	94496766		
chr1:94502830-94503006	chr1	94502830	94503006		
chr1:94505523-94505699	chr1	94505523	94505699		
chr1:94506761-94506939	chr1	94506761	94506939		
chr1:94508247-94508423	chr1	94508247	94508423		
chr1:94508893-94509085	chr1	94508893	94509085		
chr1:94510088-94510264	chr1	94510088	94510264		
chr1:94512423-94512677	chr1	94512423	94512677		
chr1:94517178-94517354	chr1	94517178	94517354		
chr1:94522169-94522345	chr1	94522169	94522345		
chr1:94526195-94526363	chr1	94526195	94526363		
chr1:94528570-94528906	chr1	94528570	94528906		
chr1:94543313-94543489	chr1	94543313	94543489		
chr1:94544869-94545045	chr1	94544869	94545045		
chr1:94548856-94549032	chr1	94548856	94549032		
chr1:94564408-94564584	chr1	94564408	94564584		
chr1:94568613-94568789	chr1	94568613	94568789		
chr1:94586525-94586701	chr1	94586525	94586701		
chr1:100340262-100340462	chr1	100340262	100340462		
chr1:100340874-100341050	chr1	100340874	100341050		
chr1:100353590-100353766	chr1	100353590	100353766		
chr1:100368226-100368402	chr1	100368226	100368402		
chr1:100382189-100382334	chr1	100382189	100382334		
chr1:100476893-100477069	chr1	100476893	100477069		
chr1:100483297-100483442	chr1	100483297	100483442		
chr1:100657976-100658216	chr1	100657976	100658216		
chr1:100658792-100659032	chr1	100658792	100659032		
chr1:100660736-100660976	chr1	100660736	100660976		
chr1:100661808-100662048	chr1	100661808	100662048		
chr1:100663368-100663608	chr1	100663368	100663608		
chr1:100664184-100664424	chr1	100664184	100664424		
chr1:100671616-100671856	chr1	100671616	100671856		
chr1:100673920-100674160	chr1	100673920	100674160		
chr1:100680297-100680473	chr1	100680297	100680473		
chr1:100681657-100681802	chr1	100681657	100681802		
chr1:109440138-109440314	chr1	109440138	109440314		
chr1:114442900-114443076	chr1	114442900	114443076		
chr1:114443911-114444088	chr1	114443911	114444088		
chr1:116247760-116247905	chr1	116247760	116247905		
chr1:120277916-120278092	chr1	120277916	120278092		
chr1:120286456-120286601	chr1	120286456	120286601		
chr1:150049768-150049913	chr1	150049768	150049913		
chr1:150480681-150480831	chr1	150480681	150480831		
chr1:150769202-150769347	chr1	150769202	150769347		
chr1:151316126-151316271	chr1	151316126	151316271		
chr1:154245808-154245958	chr1	154245808	154245958		
chr1:155204720-155204865	chr1	155204720	155204865		
chr1:155204910-155205115	chr1	155204910	155205115		
chr1:155205418-155205734	chr1	155205418	155205734		
chr1:155207235-155207411	chr1	155207235	155207411		
chr1:155207907-155208083	chr1	155207907	155208083		
chr1:155209652-155209797	chr1	155209652	155209797		
chr1:155210320-155210552	chr1	155210320	155210552		
chr1:155210803-155210948	chr1	155210803	155210948		
chr1:156106895-156107095	chr1	156106895	156107095		
chr1:156830860-156831006	chr1	156830860	156831006		
chr1:156845242-156845387	chr1	156845242	156845387		
chr1:156848895-156849041	chr1	156848895	156849041		
chr1:156849755-156849900	chr1	156849755	156849900		
chr1:160011723-160011899	chr1	160011723	160011899		
chr1:161183387-161183563	chr1	161183387	161183563		
chr1:162746058-162746236	chr1	162746058	162746236		
chr1:168262288-168262522	chr1	168262288	168262522		
chr1:168266924-168267124	chr1	168266924	168267124		
chr1:169437808-169437953	chr1	169437808	169437953		
chr1:169446405-169446550	chr1	169446405	169446550		
chr1:173800694-173800870	chr1	173800694	173800870		
chr1:179530390-179530562	chr1	179530390	179530562		
chr1:183184611-183184792	chr1	183184611	183184792		
chr1:183192226-183192402	chr1	183192226	183192402		
chr1:183200061-183200237	chr1	183200061	183200237		
chr1:183532498-183532678	chr1	183532498	183532678		
chr1:183533310-183533526	chr1	183533310	183533526		
chr1:183534198-183534414	chr1	183534198	183534414		
chr1:183535182-183535388	chr1	183535182	183535388		
chr1:183535688-183536552	chr1	183535688	183536552		
chr1:183536576-183536794	chr1	183536576	183536794		
